student_id,student_name,course,grade,month
1,Alice,Biology,85,Jan
1,Alice,Biology,80,Feb
1,Alice,Math,83,Jan
1,Alice,Math,64,Feb
1,Alice,Physics,76,Jan
1,Alice,Physics,70,Feb
2,Bob,Biology,85,Jan
2,Bob,Biology,63,Feb
2,Bob,Math,73,Jan
2,Bob,Math,72,Feb
2,Bob,Physics,77,Jan
2,Bob,Physics,88,Feb
3,Carol,Biology,60,Jan
3,Carol,Biology,93,Feb
3,Carol,Math,61,Jan
3,Carol,Math,74,Feb
3,Carol,Physics,78,Jan
3,Carol,Physics,90,Feb
4,Dave,Biology,62,Jan
4,Dave,Biology,97,Feb
4,Dave,Math,67,Jan
4,Dave,Math,84,Feb
4,Dave,Physics,98,Jan
4,Dave,Physics,99,Feb
5,Eve,Biology,67,Jan
5,Eve,Biology,63,Feb
5,Eve,Math,87,Jan
5,Eve,Math,64,Feb
5,Eve,Physics,85,Jan
5,Eve,Physics,70,Feb
6,Frank,Biology,70,Jan
6,Frank,Biology,77,Feb
6,Frank,Math,76,Jan
6,Frank,Math,88,Feb
6,Frank,Physics,80,Jan
6,Frank,Physics,61,Feb
7,Grace,Biology,92,Jan
7,Grace,Biology,93,Feb
7,Grace,Math,77,Jan
7,Grace,Math,83,Feb
7,Grace,Physics,64,Jan
7,Grace,Physics,100,Feb
8,Heidi,Biology,82,Jan
8,Heidi,Biology,67,Feb
8,Heidi,Math,96,Jan
8,Heidi,Math,84,Feb
8,Heidi,Physics,77,Jan
8,Heidi,Physics,86,Feb
9,Ivan,Biology,61,Jan
9,Ivan,Biology,97,Feb
9,Ivan,Math,91,Jan
9,Ivan,Math,61,Feb
9,Ivan,Physics,89,Jan
9,Ivan,Physics,78,Feb
10,Judy,Biology,61,Jan
10,Judy,Biology,77,Feb
10,Judy,Math,70,Jan
10,Judy,Math,100,Feb
10,Judy,Physics,65,Jan
10,Judy,Physics,72,Feb
