student_id,student_name,course,grade,month
1,Alice,Math,64,Feb
1,Alice,Physics,70,Feb
1,Alice,Biology,80,Feb
2,Bob,Math,72,Feb
2,Bob,Physics,88,Feb
2,Bob,Biology,63,Feb
3,Carol,Math,74,Feb
3,Carol,Physics,90,Feb
3,Carol,Biology,93,Feb
4,Dave,Math,84,Feb
4,Dave,Physics,99,Feb
4,Dave,Biology,97,Feb
5,Eve,Math,64,Feb
5,Eve,Physics,70,Feb
5,Eve,Biology,63,Feb
6,Frank,Math,88,Feb
6,Frank,Physics,61,Feb
6,Frank,Biology,77,Feb
7,Grace,Math,83,Feb
7,Grace,Physics,100,Feb
7,Grace,Biology,93,Feb
8,Heidi,Math,84,Feb
8,Heidi,Physics,86,Feb
8,Heidi,Biology,67,Feb
9,Ivan,Math,61,Feb
9,Ivan,Physics,78,Feb
9,Ivan,Biology,97,Feb
10,Judy,Math,100,Feb
10,Judy,Physics,72,Feb
10,Judy,Biology,77,Feb
